tweet_id,timestamp,rating_result,stage
859074603037188101,2017-05-01 15:58:40 +0000,1.3,None
858843525470990336,2017-05-01 00:40:27 +0000,1.3,doggo
858471635011153920,2017-04-30 00:02:42 +0000,1.3,None
858107933456039936,2017-04-28 23:57:28 +0000,1.2,None
857989990357356544,2017-04-28 16:08:49 +0000,1.2,None
857746408056729600,2017-04-28 00:00:54 +0000,1.3,None
857393404942143489,2017-04-27 00:38:11 +0000,1.3,None
857263160327368704,2017-04-26 16:00:39 +0000,1.3,None
857029823797047296,2017-04-26 00:33:27 +0000,1.2,None
856543823941562368,2017-04-24 16:22:16 +0000,1.2,None
856526610513747968,2017-04-24 15:13:52 +0000,1.4,None
856282028240666624,2017-04-23 23:01:59 +0000,1.4,None
855459453768019968,2017-04-21 16:33:22 +0000,1.2,None
854732716440526848,2017-04-19 16:25:34 +0000,1.2,None
854482394044301312,2017-04-18 23:50:52 +0000,1.3,None
854365224396361728,2017-04-18 16:05:17 +0000,1.3,None
854120357044912130,2017-04-17 23:52:16 +0000,1.4,pupper
853760880890318849,2017-04-17 00:03:50 +0000,1.2,None
853639147608842240,2017-04-16 16:00:07 +0000,1.3,None
853299958564483072,2017-04-15 17:32:18 +0000,1.3,None
852912242202992640,2017-04-14 15:51:39 +0000,1.2,None
852672615818899456,2017-04-13 23:59:28 +0000,1.2,None
852553447878664193,2017-04-13 16:05:56 +0000,1.3,None
852311364735569921,2017-04-13 00:03:59 +0000,1.3,None
852189679701164033,2017-04-12 16:00:27 +0000,1.2,None
851591660324737024,2017-04-11 00:24:08 +0000,1.1,None
851464819735769094,2017-04-10 16:00:07 +0000,1.4,None
851224888060895234,2017-04-10 00:06:42 +0000,1.3,None
850753642995093505,2017-04-08 16:54:09 +0000,1.1,None
850145622816686080,2017-04-07 00:38:06 +0000,1.1,None
850019790995546112,2017-04-06 16:18:05 +0000,1.2,pupper
849776966551130114,2017-04-06 00:13:11 +0000,1.2,None
849412302885593088,2017-04-05 00:04:08 +0000,1.2,None
849336543269576704,2017-04-04 19:03:06 +0000,1.1,None
849051919805034497,2017-04-04 00:12:06 +0000,1.3,None
848690551926992896,2017-04-03 00:16:10 +0000,1.2,None
848324959059550208,2017-04-02 00:03:26 +0000,1.2,None
848212111729840128,2017-04-01 16:35:01 +0000,0.6,None
